Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2018,Detroit Tigers,AL Central,64,98,3,,"1,856,970","22,926",10th of 15,"$111,531,000",102,101,Comerica Park
2017,Detroit Tigers,AL Central,64,98,5,,"2,321,599","28,662",7th of 15,"$118,375,600",102,101,Comerica Park
2016,Detroit Tigers,AL Central,86,75,2,,"2,493,859","31,173",7th of 15,"$199,902,000",101,100,Comerica Park
2015,Detroit Tigers,AL Central,74,87,5,,"2,726,048","33,655",5th of 15,"$172,284,750",99,99,Comerica Park
2014,Detroit Tigers,AL Central,90,72,1,Lost LDS (3-0),"2,917,209","36,015",4th of 15,"$169,135,500",101,101,Comerica Park
2013,Detroit Tigers,AL Central,93,69,1,Lost ALCS (4-2),"3,083,397","38,067",3rd of 15,"$154,407,000",104,104,Comerica Park
2012,Detroit Tigers,AL Central,88,74,1,Lost WS (4-0),"3,028,033","37,383",5th of 14,"$131,394,000",104,105,Comerica Park
2011,Detroit Tigers,AL Central,95,67,1,Lost ALCS (4-2),"2,642,045","32,618",6th of 14,"$106,875,231",101,102,Comerica Park
2010,Detroit Tigers,AL Central,81,81,3,,"2,461,237","30,386",6th of 14,"$124,039,928",101,102,Comerica Park
2009,Detroit Tigers,AL Central,86,77,2,,"2,567,165","31,693",4th of 14,"$119,510,145",101,101,Comerica Park
2008,Detroit Tigers,AL Central,74,88,5,,"3,202,645","39,539",3rd of 14,"$138,785,196",102,102,Comerica Park
2007,Detroit Tigers,AL Central,88,74,2,,"3,047,133","37,619",3rd of 14,"$95,180,369",101,102,Comerica Park
2006,Detroit Tigers,AL Central,95,67,2,Lost WS (4-1),"2,595,937","32,049",5th of 14,"$82,612,866",99,100,Comerica Park
2005,Detroit Tigers,AL Central,71,91,4,,"2,024,431","24,993",10th of 14,"$69,092,000",97,97,Comerica Park
2004,Detroit Tigers,AL Central,72,90,4,,"1,917,004","23,667",9th of 14,"$46,832,000",96,94,Comerica Park
2003,Detroit Tigers,AL Central,43,119,5,,"1,368,245","16,892",13th of 14,"$49,168,000",95,93,Comerica Park
2002,Detroit Tigers,AL Central,55,106,5,,"1,503,623","18,795",12th of 14,"$55,048,000",95,92,Comerica Park
2001,Detroit Tigers,AL Central,66,96,4,,"1,921,305","23,720",9th of 14,"$53,416,167",95,93,Comerica Park
2000,Detroit Tigers,AL Central,79,83,3,,"2,438,617","30,106",7th of 14,"$59,645,167",95,94,Comerica Park
1999,Detroit Tigers,AL Central,69,92,3,,"2,026,441","25,018",9th of 14,"$36,689,666",100,99,Tiger Stadium
1998,Detroit Tigers,AL Central,65,97,5,,"1,409,391","17,400",11th of 14,"$24,265,000",101,100,Tiger Stadium
1997,Detroit Tigers,AL East,79,83,3,,"1,365,157","16,854",13th of 14,"$17,272,000",100,99,Tiger Stadium
1996,Detroit Tigers,AL East,53,109,5,,"1,168,610","14,427",13th of 14,"$23,438,000",102,100,Tiger Stadium
1995,Detroit Tigers,AL East,60,84,4,,"1,180,979","16,402",11th of 14,"$37,044,168",102,100,Tiger Stadium
1994,Detroit Tigers,AL East,53,62,5,,"1,184,783","20,427",13th of 14,"$41,446,501",101,100,Tiger Stadium
1993,Detroit Tigers,AL East,85,77,3,,"1,971,421","24,339",12th of 14,"$38,150,165",99,99,Tiger Stadium
1992,Detroit Tigers,AL East,75,87,6,,"1,423,963","17,800",13th of 14,"$27,322,834",100,100,Tiger Stadium
1991,Detroit Tigers,AL East,84,78,2,,"1,641,661","20,267",12th of 14,"$23,838,333",102,102,Tiger Stadium
1990,Detroit Tigers,AL East,79,83,3,,"1,495,785","18,466",13th of 14,"$18,393,238",102,101,Tiger Stadium
